Evaluation,Objective,DataMSE,Penalty
100,0.0009332482375236504,0.0009332482375236504,0.0
101,0.0009319437243018538,0.0009319437243018538,0.0
102,0.0009306940252708048,0.0009306940252708048,0.0
103,0.0009300387178840881,0.0009300387178840881,0.0
104,0.0009317411484446131,0.0009317411484446131,0.0
105,0.0009291266355734728,0.0009291266355734728,0.0
106,0.0009265691936483917,0.0009265691936483917,0.0
107,0.0009289185143525287,0.0009289185143525287,0.0
108,0.0009281378191171602,0.0009281378191171602,0.0
109,0.0009285714355709035,0.0009285714355709035,0.0
110,0.0009275909770757349,0.0009275909770757349,0.0
111,0.0009268864815183238,0.0009268864815183238,0.0
112,0.0009296506871384617,0.0009296506871384617,0.0
113,0.000928935527113485,0.000928935527113485,0.0
114,0.0009267744097020609,0.0009267744097020609,0.0
115,0.0009252395355117409,0.0009252395355117409,0.0
116,0.0009227165131531071,0.0009227165131531071,0.0
117,0.0009251598115990382,0.0009251598115990382,0.0
118,0.0009333323406902561,0.0009333323406902561,0.0
119,0.0009367675013473801,0.0009367675013473801,0.0
120,0.0009299081198098932,0.0009299081198098932,0.0
121,0.0009332095492304402,0.0009332095492304402,0.0
122,0.0009226541384150277,0.0009226541384150277,0.0
123,0.0009204127407786722,0.0009204127407786722,0.0
124,0.0009361432898705098,0.0009361432898705098,0.0
125,0.0009293495752142161,0.0009293495752142161,0.0
126,0.0009244995169596982,0.0009244995169596982,0.0
127,0.0009244191799962746,0.0009244191799962746,0.0
128,0.0009253701376541473,0.0009253701376541473,0.0
129,0.0009279446285866232,0.0009279446285866232,0.0
130,0.0009530797274166717,0.0009530797274166717,0.0
131,0.0009264633517574447,0.0009264633517574447,0.0
132,0.000933409691619438,0.000933409691619438,0.0
133,0.0009271326650622132,0.0009271326650622132,0.0
134,0.000923385583237602,0.000923385583237602,0.0
135,0.0009337631634961844,0.0009337631634961844,0.0
136,0.0009266419345141244,0.0009266419345141244,0.0
137,0.0009229777417791615,0.0009229777417791615,0.0
