System,Output,Method,Amplitude,NoiseStd,Replicates,PICP_mean,PICP_min,PICP_max,PICP_sd,MPIW_mean,MPIW_min,MPIW_max,MPIW_sd,NMPIW_mean,NMPIW_min,NMPIW_max,NMPIW_sd,RMSE_mean,RMSE_min,RMSE_max,RMSE_sd,MaxExcess_mean,MaxExcess_min,MaxExcess_max,MaxExcess_sd,MinSlack_mean,MinSlack_min,MinSlack_max,MinSlack_sd,Violations_total
2,1,MANFIZ_validation,1.15,0.02,20,1.0,1.0,1.0,0.0,0.33743098884189526,0.33574168264619364,0.33874486437638357,0.0008205163928641815,0.15512242003912172,0.12813084384099907,0.1851318203592933,0.015941535636669023,0.021921898262928455,0.02108613132279112,0.02271106716464277,0.0003580526696931566,0.0,0.0,0.0,0.0,0.07518274316746454,0.06126292437824915,0.08598531348440056,0.006250564113040946,0
2,1,MANFIZ_validation,1.3,0.005,20,1.0,1.0,1.0,0.0,0.34915961300824583,0.34703445795723703,0.35106156573079783,0.0011206867708989667,0.13456135530428556,0.1094022265128409,0.16113142878896572,0.013933860194955645,0.01332120210323825,0.012035139360175359,0.014152043779345548,0.00047968276773006425,0.0,0.0,0.0,0.0,0.06525406268543406,0.04248954283577444,0.08389955205789149,0.013277717360245503,0
2,1,MANFIZ_validation,1.3,0.01,20,1.0,1.0,1.0,0.0,0.3491687338063093,0.34703723046479107,0.35104667678918416,0.001114505707223236,0.13430923769729347,0.10930878666030047,0.16094779883873378,0.013992599702989631,0.01613260188480533,0.015127160256869443,0.01702428648771446,0.0004386482878763524,0.0,0.0,0.0,0.0,0.058143638388508535,0.03311313894673064,0.07825191196011608,0.013542317802190696,0
2,1,MANFIZ_validation,1.3,0.02,20,1.0,1.0,1.0,0.0,0.3492088069451889,0.34706947611595995,0.3510339845963158,0.0011009324603918234,0.13371091410157004,0.10913078505142329,0.16058956152420387,0.01401516683106124,0.02430792160098856,0.023398415697521272,0.02533627608602603,0.0004449291615860816,0.0,0.0,0.0,0.0,0.04155404980237985,0.014362468740272846,0.059506031616784305,0.013406759461921349,0
2,2,MANFIZ_noise,1.0,0.005,20,1.0,1.0,1.0,0.0,0.3938580525750994,0.391637461946574,0.3955988454496811,0.0011872620592474255,0.2667667898040565,0.24052277095051833,0.28686266041580777,0.012394977375698219,0.006655646176605153,0.00626125384363661,0.00697209925162891,0.00017990774510317516,0.0,0.0,0.0,0.0,0.12064059212715149,0.11494461627955198,0.1306319434451071,0.0036536318727673693,0
2,2,MANFIZ_noise,1.0,0.01,20,1.0,1.0,1.0,0.0,0.3938761738803217,0.3916471383233495,0.3956276534134719,0.0011855778414386498,0.2650563511374315,0.23871287097118468,0.285005894276027,0.012462395247764163,0.01117308291956307,0.010696676030618454,0.01157092457686346,0.0002066085930397272,0.0,0.0,0.0,0.0,0.11301679152488862,0.10647188571508895,0.12388998002486773,0.004276801552029663,0
2,2,MANFIZ_noise,1.0,0.02,20,1.0,1.0,1.0,0.0,0.39394545054856767,0.3917070866770443,0.3957158408059055,0.0011803700433905887,0.2612804611022248,0.23519399516107498,0.28068306044636193,0.012477982645774214,0.021134041162320635,0.02038291999143116,0.0218037682121851,0.00034905005165211986,0.0,0.0,0.0,0.0,0.09580671193526527,0.08832920748690264,0.11040826845852046,0.005208177055789249,0
2,2,MANFIZ_noise,1.15,0.005,20,1.0,1.0,1.0,0.0,0.4159190760837105,0.41333639248338583,0.4182406446355106,0.0015072927951933891,0.25423137160075593,0.22711554498802594,0.2755920889943158,0.012245721915998927,0.008331725680455888,0.007639199878592997,0.00904757484860728,0.0003244915674888888,0.0,0.0,0.0,0.0,0.12137641437327547,0.11419144084660564,0.13317548611444935,0.004315311701453945,0
2,2,MANFIZ_noise,1.15,0.01,20,1.0,1.0,1.0,0.0,0.41593506024120697,0.41334141138139857,0.4182223780146804,0.0015053907157643542,0.2528179824145705,0.22558444214616727,0.2734278461670514,0.012227491780147603,0.012262663798472639,0.011551818874532185,0.012806521032809593,0.00028728612571499146,0.0,0.0,0.0,0.0,0.11389204599707833,0.10572035334072177,0.12641160074006252,0.0048440122692917295,0
2,2,MANFIZ_noise,1.15,0.02,20,1.0,1.0,1.0,0.0,0.4159959168102813,0.4133849327140288,0.4182081170906681,0.0014991959349806207,0.24946983002376275,0.2225989855899118,0.26921634782022313,0.012166049734708556,0.021758022683274862,0.02084189326798518,0.022488075107967548,0.0003798945168243592,0.0,0.0,0.0,0.0,0.09694868180152481,0.08878411067862532,0.11288692278654797,0.005705548839006486,0
2,2,MANFIZ_noise,1.3,0.005,20,1.0,1.0,1.0,0.0,0.4377475356579581,0.4348258497183421,0.4406866280052971,0.0018279550344821093,0.24427367961122315,0.21745005005746212,0.2674315718223474,0.011582617791854245,0.012217744508698258,0.011258720185739585,0.013494615695112643,0.0005464864890088565,0.0,0.0,0.0,0.0,0.12072638554289356,0.08949351456428328,0.13281915971811906,0.00847104202641837,0
2,2,MANFIZ_noise,1.3,0.01,20,1.0,1.0,1.0,0.0,0.4377616319621569,0.43482996374975674,0.4406669976624816,0.001825983639468677,0.2430129680373496,0.2161142140810271,0.2652170260540079,0.011488109833998445,0.015190093850774708,0.014206817320462962,0.016266988226981582,0.0004777442455059345,0.0,0.0,0.0,0.0,0.11339467008329095,0.0835777117849048,0.12470535349586931,0.00843353664370066,0
