System,Amplitude,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
1,1.3,18,2,0.010458952003800296,0.007279580910462923,0.9997525659190788,1.0,0.5175710878526548,0.17656107709620927,0,0.0,0.0807343134350533
1,1.3,19,1,0.014349457974289478,0.009463906456934037,0.9996249883623232,1.0,0.48262355838990106,0.13811844664545095,0,0.0,0.09286941007136018
1,1.3,19,2,0.010114363832082099,0.007014738639613883,0.9997613873740554,1.0,0.5179403318738157,0.16284041188476414,0,0.0,0.1195493750996068
1,1.3,20,1,0.012848827312504084,0.009018529219742031,0.999689281038967,1.0,0.4833368675468213,0.14731072057175223,0,0.0,0.12369351734930328
1,1.3,20,2,0.01247779140183421,0.0078197728560227,0.9996603436083804,1.0,0.5199515299391739,0.1658854138277571,0,0.0,0.12115898514595994
2,1.0,1,1,0.003534666307682151,0.0026944294010901202,0.9999117005395171,1.0,0.3266210490838285,0.21108269045788375,0,0.0,0.12134992245836923
2,1.0,1,2,0.004100636535825328,0.003175835757673945,0.9998161414871598,1.0,0.2902552222283089,0.19641452881817553,0,0.0,0.07218515906317619
2,1.0,2,1,0.004056971681982566,0.003134270272688348,0.9998818306657565,1.0,0.3255577208187797,0.2002555191024962,0,0.0,0.11742771376714965
2,1.0,2,2,0.004431922723568921,0.003433338988400443,0.9997938668804155,1.0,0.28773039245352267,0.19621996433247604,0,0.0,0.07120540735936973
2,1.0,3,1,0.004080486635587387,0.0031010499447532928,0.9998853476041697,1.0,0.32611457632221846,0.19135063453797246,0,0.0,0.1206729656599013
2,1.0,3,2,0.004094766784653233,0.0032436300695503854,0.9998155240048,1.0,0.289692925388651,0.18719110062426292,0,0.0,0.07302275666115124
2,1.0,4,1,0.003956464790899183,0.0030698373196079614,0.9998935375644065,1.0,0.3262570029979474,0.18605566964986225,0,0.0,0.1213515361232543
2,1.0,4,2,0.003925749073011303,0.0031038875096889417,0.9998307467805807,1.0,0.2893715111041673,0.1994671908570211,0,0.0,0.07549635657625453
2,1.0,5,1,0.003857410491657522,0.002961247532744902,0.9998941646446695,1.0,0.326365373734457,0.19004490400119026,0,0.0,0.12081061505219065
2,1.0,5,2,0.004329110798457084,0.0033905422733632824,0.9997985597983112,1.0,0.2896843228588826,0.2026901229719542,0,0.0,0.08053660679005621
2,1.0,6,1,0.003846437141518732,0.0029891457572233187,0.9998963899656315,1.0,0.3248733879578386,0.1591786990772285,0,0.0,0.11689639504923782
2,1.0,6,2,0.0039996624302168346,0.0031501432901032303,0.9998183713173504,1.0,0.28730317963938795,0.18978740833617755,0,0.0,0.07606407806629932
2,1.0,7,1,0.00394271659453435,0.00303373584107026,0.9998893697128935,1.0,0.3253488351565811,0.1984021947135283,0,0.0,0.1193137186478192
2,1.0,7,2,0.004011894549617818,0.003079728498682941,0.9998213625297246,1.0,0.2877884989556595,0.2114025843978371,0,0.0,0.07910562742740976
2,1.0,8,1,0.0036402758413586742,0.0028527188222467487,0.9999112866298735,1.0,0.32623093599375713,0.16133793097715549,0,0.0,0.12311326883751356
2,1.0,8,2,0.003985902158454165,0.00318698419185247,0.9998218783092673,1.0,0.28898910999760474,0.19828827745780297,0,0.0,0.08290190205320724
2,1.0,9,1,0.0038169043318969347,0.0029715172896854656,0.9999024392315244,1.0,0.3251981385675967,0.1641084691470863,0,0.0,0.12063272597995436
2,1.0,9,2,0.004416440567250751,0.0033280446467284304,0.9997763637195463,1.0,0.28685984240895424,0.177519699798421,0,0.0,0.0737315865528524
2,1.0,10,1,0.004058231437794882,0.0030930054758388616,0.9998832780689698,1.0,0.3257875510488913,0.18946460726195494,0,0.0,0.12006003613341573
2,1.0,10,2,0.004034349157802917,0.0030781257809740035,0.9998236985333078,1.0,0.29017952709167105,0.2075524198591423,0,0.0,0.07808794849788858
2,1.0,11,1,0.0037626149864842156,0.0029598676984402134,0.9999048145125782,1.0,0.32619394934489737,0.17618585039421628,0,0.0,0.12138452098829627
2,1.0,11,2,0.00396175135596197,0.0031349715226190703,0.9998241754370171,1.0,0.28872251825866424,0.20337351967730785,0,0.0,0.07383423052906246
2,1.0,12,1,0.0037628489109571978,0.00298831101770363,0.9999051126918764,1.0,0.32560359888920976,0.19519241218858477,0,0.0,0.12003083319149854
2,1.0,12,2,0.004161128802084678,0.003181216383063493,0.9998041078543397,1.0,0.28805346765169426,0.20424044058217175,0,0.0,0.07700710061691517
2,1.0,13,1,0.003914143113188619,0.0029336258200198147,0.9998927388479557,1.0,0.3254987225056869,0.16181342005105773,0,0.0,0.11427149057148724
2,1.0,13,2,0.004441319632545603,0.003360590914745903,0.9997846507854301,1.0,0.2874563148078864,0.18766721065525233,0,0.0,0.07135254351793012
2,1.0,14,1,0.004164993510429131,0.00326105797189677,0.9998786815853087,1.0,0.3261707815664562,0.18319845592546016,0,0.0,0.11874458634636684
2,1.0,14,2,0.004241280687108153,0.003284260016946864,0.9998094561676455,1.0,0.2900303702689415,0.19936894110371636,0,0.0,0.07314760036095327
2,1.0,15,1,0.003992372567902618,0.0030962185527961383,0.9998855668976163,1.0,0.32544598898670113,0.1688850119952672,0,0.0,0.12121997578628013
2,1.0,15,2,0.004250337942097631,0.0032203858835587787,0.9998109512481551,1.0,0.28821759677985637,0.1995280123096919,0,0.0,0.0762199883552766
2,1.0,16,1,0.004033949764367341,0.00313977347697847,0.9998902264186328,1.0,0.32623394974964337,0.20012995787842242,0,0.0,0.11959593786837375
2,1.0,16,2,0.0042388605133750045,0.003246214279315246,0.9998057033875171,1.0,0.2888744432715042,0.1979647786245705,0,0.0,0.07465393456390451
2,1.0,17,1,0.003904957832522665,0.0030605269110596154,0.999892831850298,1.0,0.3260968907980303,0.1813103960873783,0,0.0,0.1206268595938468
2,1.0,17,2,0.0037672517086365003,0.002958687932422555,0.999845263174063,1.0,0.28952117860177357,0.20687474351125765,0,0.0,0.07967276939143289
2,1.0,18,1,0.0042505917455510685,0.0033124795661931,0.9998795355483211,1.0,0.3244356721588616,0.15209757361026593,0,0.0,0.11571987057103164
2,1.0,18,2,0.004349871793845893,0.0032404099502642302,0.9997820003466774,1.0,0.28639831041966607,0.1910986909327854,0,0.0,0.0725198151112417
