Method,System,Amplitude,NoiseStd,Replicate,Output,RMSE,MAE,R2,PICP,MPIW,NMPIW,Violations,MaxExcess,MinSlack
MANFIZ_validation,1,1.0,0.02,9,1,0.02241583193589498,0.018881002080615834,0.9985275990787565,1.0,0.4387379377129593,0.160035288458767,0,0.0,0.09846685024092755
MANFIZ_validation,1,1.0,0.02,9,2,0.021445440190908337,0.018066582428130123,0.9982353610567261,1.0,0.4660103566312978,0.189926872180628,0,0.0,0.09566641850501975
MANFIZ_noise,1,1.0,0.005,10,1,0.009496519174113847,0.007107669142120031,0.9997300934055399,1.0,0.5617135259335015,0.1881888098141043,0,0.0,0.1682026416597208
MANFIZ_noise,1,1.0,0.005,10,2,0.007838514292344431,0.006102344619284524,0.9997672351548829,1.0,0.589787365764062,0.19843017839093158,0,0.0,0.14256379126154423
MANFIZ_validation,1,1.0,0.005,10,1,0.009496519174113847,0.007107669142120031,0.9997300934055399,1.0,0.4379441268975691,0.14672280477662458,0,0.0,0.11156121158755478
MANFIZ_validation,1,1.0,0.005,10,2,0.007838514292344431,0.006102344619284524,0.9997672351548829,1.0,0.46504114241297545,0.15646011122768647,0,0.0,0.08704400713629108
MANFIZ_noise,1,1.0,0.01,10,1,0.013177773932350523,0.01060938175859718,0.9994806842630753,1.0,0.5617444933771687,0.1882924541036461,0,0.0,0.15947662354559625
MANFIZ_noise,1,1.0,0.01,10,2,0.01212940552887894,0.009989966429109369,0.9994423587591454,1.0,0.589787590762029,0.1976876893663375,0,0.0,0.13585685902052597
MANFIZ_validation,1,1.0,0.01,10,1,0.013177773932350523,0.01060938175859718,0.9994806842630753,1.0,0.4379750943412379,0.14680589898442853,0,0.0,0.10283519347343023
MANFIZ_validation,1,1.0,0.01,10,2,0.01212940552887894,0.009989966429109369,0.9994423587591454,1.0,0.4650413674109424,0.15587468238260177,0,0.0,0.0803370748952728
MANFIZ_noise,1,1.0,0.02,10,1,0.022491920250116888,0.018707987607843857,0.9984901496545786,1.0,0.561847443358277,0.18764615997682077,0,0.0,0.1420450731742411
MANFIZ_noise,1,1.0,0.02,10,2,0.022077360525295513,0.018639719794615792,0.9981517065878576,1.0,0.5898398290950346,0.1962364883995627,0,0.0,0.12249533375350158
MANFIZ_validation,1,1.0,0.02,10,1,0.022491920250116888,0.018707987607843857,0.9984901496545786,1.0,0.4380780443223436,0.14630957879935375,0,0.0,0.08540364310207507
MANFIZ_validation,1,1.0,0.02,10,2,0.022077360525295513,0.018639719794615792,0.9981517065878576,1.0,0.4650936057439477,0.15473410147346608,0,0.0,0.06697554962824842
MANFIZ_noise,1,1.0,0.005,11,1,0.008970968560731268,0.006831009178569599,0.999766531627859,1.0,0.5637968572585189,0.18412115909176718,0,0.0,0.18488470967882967
